Depth,BW,PW,MH,Ratio,Stability,Label
76.2,6.1,4.88,1.37,3.56,Failed,F0
29,6.3,5.4,2.9,1.86,Failed,F0
60,6,7,1.82,3.85,Failed,F1
53,6.1,5.6,1.8,3.11,Failed,F0
21,5.25,6.75,3.2,2.11,Failed,F1
19,6,6,3,2,Failed,F1
23,6,6,2.9,2.07,Failed,F1
40,5,7,2.8,2.5,Failed,F1
42,5.5,4.5,2,2.25,Failed,F0
50,5,7,2.3,3.04,Failed,F1
55,5,7,2.2,3.18,Failed,F1
87.8,6.1,6.1,1.98,3.08,Failed,F0
55.5,6.62,7.43,3.8,1.96,Failed,F0
78.2,6.47,10.53,5.16,2.04,Failed,F0
73.5,6.6,8.4,3.65,2.3,Failed,F0
70,5,7.5,1.8,4.17,Failed,F1
63.5,5,7.5,2.1,3.57,Failed,F1
61,5,6,1.9,3.16,Failed,F1
61,5,7.5,1.9,3.95,Failed,F1
74,5,10,4,2.5,Failed,F0
74,4.8,7.7,2,3.85,Failed,F1
57.66,5.66,5.3,2.89,1.83,Failed,F0
165.7,5,15,5.94,2.53,Failed,F0
195,6,17,4.88,3.48,Failed,F0
205,6,17,5.88,2.89,Failed,F0
167.6,5.49,15.85,5.49,2.89,Failed,F0
193.2,5.49,15.85,5.49,2.89,Failed,F0
184.7,5.49,15.85,5.49,2.89,Failed,F0
36.6,7.62,6.1,4.88,1.25,Failed,F0
62.5,7.62,6.1,2.44,2.5,Failed,F0
101,6,9,3.8,2.37,Failed,F0
100,6.5,8.5,3.3,2.58,Failed,F0
97,6.6,9,3.7,2.43,Failed,F0
51.5,6,6,3.9,1.54,Failed,F0
112,6.45,10.55,2.82,3.74,Failed,F0
108,6.48,10.55,3.18,3.32,Failed,F0
82,5,10,2.8,3.57,Failed,F1
96,6,12,2.9,4.14,Failed,F1
70,5.5,12.5,2.9,4.31,Failed,F1
88,6,11,2.9,3.79,Failed,F1
112,5.5,11.5,2.9,3.97,Failed,F0
96,6,12,6,2,Failed,F0
82,6,12,3,4,Failed,F1
104,6,12,3,4,Failed,F1
128,5.5,12.8,5.5,2.33,Failed,F0
128,5.49,9.75,3.66,2.66,Failed,F0
57.9,6.4,5.18,3.66,1.42,Failed,F0
152.4,6.1,12.19,4.88,2.5,Failed,F0
28.5,5.8,3.8,2.7,1.41,Failed,F0
34,6.7,3.5,2.7,1.3,Failed,F0
34,6.7,3.5,2.7,1.3,Failed,F0
90,6,7.5,4.8,1.56,Failed,F0
57,5.4,3.6,1.35,2.67,Failed,F0
62,6.4,7.5,4,1.88,Failed,F0
62,6.2,7.3,4,1.83,Failed,F0
56,6.5,5.1,3.3,1.55,Failed,F0
33,6.4,6.4,4.88,1.31,Failed,F0
22,6.5,3.5,1.6,2.19,Failed,F0
62,6.1,6.1,4,1.53,Failed,F0
62,6.1,6.1,4,1.53,Failed,F0
41,6.4,6.4,6.2,1.03,Failed,F0
41,6.4,6.4,6.2,1.03,Failed,F0
41,6.4,6.4,6.2,1.03,Failed,F0
35.5,5.5,5.5,2.2,2.5,Failed,F1
32,6.4,3.3,2.3,1.43,Failed,F0
32.5,6.5,3.2,2.1,1.52,Failed,F0
43,6.2,4.8,2.8,1.71,Failed,F0
86.4,6.5,7.5,4.6,1.63,Failed,F0
102,6.2,7.6,4.5,1.69,Failed,F0
61,6.1,6.1,4.57,1.33,Failed,F0
61,7.62,6.1,3.05,2,Failed,F0
57.9,7.62,6.1,3.96,1.54,Failed,F0
41.1,6.4,4.27,3.05,1.4,Failed,F0
25.9,8.53,3.66,3.05,1.2,Failed,F0
21.3,8.23,3.96,4.57,0.87,Failed,F0
29.6,7.01,5.18,5.49,0.94,Failed,F0
27.4,7.92,3.66,2.13,1.72,Failed,F0
36.6,7.62,4.57,2.44,1.87,Failed,F0
33.5,6.71,6.1,5.49,1.11,Failed,F0
30.5,7.62,4.57,3.66,1.25,Failed,F0
53.3,6.4,5.18,3.66,1.42,Failed,F0
68.6,5.79,3.35,1.52,2.2,Failed,F0
88.4,6.55,7.16,4.88,1.47,Failed,F0
57.9,6.4,5.18,5.49,0.94,Failed,F0
61,6.86,4.72,3.51,1.34,Failed,F0
30.5,6.4,3.35,2.59,1.29,Failed,F0
36.2,6.27,5.7,3.8,1.5,Intact,I1
39.95,6.08,6.89,3.7,1.86,Intact,I1
55.2,6.96,8.98,3.95,2.27,Intact,I1
30.35,6.06,8.96,3.85,2.33,Intact,I0
41.35,5.98,8,3.6,2.22,Intact,I0
57.34,5.99,9.07,3.84,2.36,Intact,I1
63.15,6.11,8.02,1.65,4.86,Intact,I0
40.86,7.63,7.55,2.92,2.59,Intact,I0
30.55,7.11,8.07,3.2,2.52,Intact,I0
49.82,7.67,7.63,3.05,2.5,Intact,I1
47.07,6.89,8.29,3.37,2.46,Intact,I0
