RMR,Span,Stability
55,18.60,2
77,12.00,1
40,6.40,3
57,13.00,1
47,9.20,2
73,8.00,1
79,24.00,2
25,3.50,3
79,17.00,1
75,26.00,2
58,12.00,1
77,20.00,1
49,14.00,3
38,5.00,2
68,2.00,2
56,6.00,1
45,7.00,2
28,14.00,3
35,3.50,3
61,5.90,1
55,3.10,1
77,20.00,1
80,12.00,1
52,4.30,2
72,5.00,1
42,6.00,2
50,9.00,2
68,21.00,2
56,5.90,1
60,10.00,2
78,28.00,2
65,6.50,1
55,2.00,1
70,9.20,1
70,5.00,1
79,6.70,1
69,3.70,1
75,5.00,1
69,4.00,1
70,4.60,1
77,35.00,2
80,5.00,1
87,25.00,1
45,7.00,3
65,32.00,3
55,6.10,1
72,25.00,2
82,3.10,1
56,5.00,1
60,8.20,1
63,17.00,2
48,15.00,3
46,4.50,2
69,25.00,2
52,4.60,2
78,35.00,2
61,11.00,1
54,5.00,1
25,3.50,3
25,3.50,3
25,3.50,3
65,7.00,1
63,24.00,3
40,13.10,3
73,10.00,1
77,18.00,1
40,4.20,3
72,5.50,1
58,13.00,1
45,3.10,3
64,16.00,1
58,4.90,1
79,18.00,1
38,5.00,2
64,8.20,1
79,14.00,1
65,18.00,2
55,6.10,1
63,20.00,2
51,11.90,2
62,3.00,1
65,5.60,1
65,12.00,1
50,3.70,1
38,5.00,2
85,15.00,1
74,10.70,1
64,20.00,2
74,14.00,1
45,7.00,2
78,20.00,1
77,23.00,1
63,24.00,3
70,6.00,1
65,2.40,1
50,3.70,2
78,15.00,1
68,5.20,1
74,9.20,1
25,13.00,3
24,4.30,3
67,6.70,1
64,25.00,3
69,4.00,1
59,11.00,1
67,9.00,1
54,2.70,1
33,3.50,3
68,12.00,1
78,26.00,1
71,8.00,1
60,15.00,2
80,2.00,1
67,23.00,2
68,21.00,2
45,7.00,2
68,5.50,1
60,6.00,1
60,5.00,1
85,15.00,1
75,3.10,1
40,7.00,2
65,15.00,2
62,9.50,1
25,6.00,3
60,2.50,1
62,4.90,1
75,26.00,2
60,4.60,1
81,41.00,3
71,5.00,1
82,2.70,1
49,12.00,2
69,3.10,1
68,17.00,2
25,3.50,3
62,12.00,1
81,9.00,1
67,10.00,1
67,6.00,1
69,20.00,1
87,19.00,1
50,9.00,2
43,7.00,2
64,35.00,2
77,20.00,1
50,5.70,2
63,24.00,3
78,39.00,2
78,20.00,1
54,2.00,1
70,14.00,1
38,5.00,2
55,4.60,1
45,3.10,3
58,8.00,1
67,3.80,1
63,10.00,1
80,20.00,1
77,25.00,2
43,10.10,2
72,23.00,2
64,3.70,1
79,20.00,1
79,25.00,1
50,8.20,2
78,18.00,1
78,28.00,2
80,6.10,1
74,2.70,1
47,2.70,1
65,18.00,2
75,15.00,1
44,6.00,2
54,9.00,3
67,12.00,1
81,5.80,1
78,15.00,1
60,9.20,1
57,12.20,2
73,20.00,1
72,12.00,1
62,5.50,1
29,4.00,3
40,4.00,2
52,7.60,2
40,4.60,2
70,11.00,1
85,14.00,1
55,4.90,2
69,4.60,1
62,22.00,3
76,24.00,1
69,5.00,1
70,11.00,1
48,20.00,3
79,25.00,1
73,25.00,2
65,6.10,1
72,17.00,1
53,10.00,2
76,6.00,1
55,4.90,3
40,12.20,3
66,16.00,1
53,12.20,3
45,4.80,1
57,14.00,1
68,20.00,2
80,6.00,1
64,4.10,1
48,15.00,3
70,9.20,1
63,24.00,3
72,8.00,1
75,21.00,2
70,6.00,1
70,6.10,1
65,8.00,1
55,11.00,2
56,5.00,1
52,6.10,1
76,24.00,1
67,25.00,3
68,6.00,1
63,20.00,2
70,12.00,1
67,21.00,1
60,20.00,3
43,7.00,2
78,28.00,2
80,20.00,1
38,5.00,2
58,10.00,1
70,30.00,3
55,5.00,1
67,2.00,1
40,7.00,2
58,7.30,1
55,6.10,2
79,25.00,1
80,18.00,1
30,3.00,3
73,16.00,1
75,18.00,1
79,31.00,2
62,8.50,2
73,20.00,1
67,10.70,1
77,25.00,1
28,15.00,3
40,4.00,2
50,3.00,1
57,3.40,1
60,1.80,1
60,4.00,1
55,7.90,2
48,8.00,2
42,5.00,2
67,9.00,1
57,3.10,1
70,5.00,1
78,·25,1
69,7.30,1
63,7.00,1
73,20.00,1
77,16.00,1
60,2.50,1
67,18.00,2
50,3.50,1
65,13.00,1
63,24.00,3
70,8.00,1
60,8.00,1
52,6.00,2
78,35.00,2
70,4.60,1
70,35.00,3
79,32.00,2
70,7.00,1
68,8.20,1
63,24.00,3
63,24.00,3
72,24.00,2
70,20.00,1
60,11.00,1
46,2.70,2
80,19.00,1
70,2.40,1
79,18.00,1
47,2.70,2
66,22.00,2
70,2.40,1
72,5.00,1
87,15.00,1
60,22.00,3
74,13.00,1
69,6.70,1
67,30.00,3
69,4.90,1
78,39.00,2
73,20.00,1
64,17.00,2
45,3.10,1
67,9.00,1
69,25.00,2
60,7.30,2
70,40.00,3
77,16.00,1
72,16.00,1
45,9.20,2
63,5.50,1
87,15.00,1
78,15.00,1
55,12.00,2
80,12.00,1
70,20.00,1
78,18.00,1
51,3.80,1
67,25.00,3
77,22.00,1
70,2.00,1
49,4.40,1
65,15.00,2
54,10.00,2
63,3.70,1
79,6.10,1
70,11.90,1
65,5.20,1
57,6.40,1
74,6.10,1
66,17.00,2
85,15.00,1
63,8.50,1
51,6.00,2
61,10.00,1
68,16.00,2
77,20.00,1
78,19.00,1
70,32.00,3
49,8.00,2
1,15.00,1
70,11.00,1
72,10.40,1
51,13.00,3
68,2.40,1
63,24.00,3
78,19.00,1
64,11.00,1
71,10.00,1
40,8.00,3
69,25.00,2
50,6.10,1
67,25.00,3
58,10.00,1
65,5.00,1
67,20.00,2
69,5.50,1
69,15.00,1
81,23.00,1
69,4.00,1
75,5.40,1
63,17.00,1
85,16.00,1
55,7.00,1
61,6.40,1
77,25.00,1
43,6.00,2
