Depth,PW,BW,MH,Ratio,Stability,cluster,Label
76.2,4.88,6.1,1.37,3.562043796,Failed,0,F0
29,5.4,6.3,2.9,1.862068966,Failed,1,F1
60,7,6,1.82,3.846153846,Failed,0,F0
53,5.6,6.1,1.8,3.111111111,Failed,0,F0
21,6.75,5.25,3.2,2.109375,Failed,0,F0
19,6,6,3,2,Failed,0,F0
23,6,6,2.9,2.068965517,Failed,0,F0
40,7,5,2.8,2.5,Failed,0,F0
42,4.5,5.5,2,2.25,Failed,0,F0
50,7,5,2.3,3.043478261,Failed,0,F0
55,7,5,2.2,3.181818182,Failed,0,F0
87.8,6.1,6.1,1.98,3.080808081,Failed,0,F0
55.5,7.43,6.62,3.8,1.955263158,Failed,1,F1
78.2,10.53,6.47,5.16,2.040697674,Failed,1,F1
73.5,8.4,6.6,3.65,2.301369863,Failed,1,F1
70,7.5,5,1.8,4.166666667,Failed,0,F0
63.5,7.5,5,2.1,3.571428571,Failed,0,F0
61,6,5,1.9,3.157894737,Failed,0,F0
61,7.5,5,1.9,3.947368421,Failed,0,F0
74,10,5,4,2.5,Failed,0,F0
74,7.7,4.8,2,3.85,Failed,0,F0
57.66,5.3,5.66,2.89,1.833910035,Failed,0,F0
165.7,15,5,5.94,2.525252525,Failed,1,F1
195,17,6,4.88,3.483606557,Failed,1,F1
205,17,6,5.88,2.891156463,Failed,1,F1
167.6,15.85,5.49,5.49,2.887067395,Failed,1,F1
193.2,15.85,5.49,5.49,2.887067395,Failed,1,F1
184.7,15.85,5.49,5.49,2.887067395,Failed,1,F1
36.6,6.1,7.62,4.88,1.25,Failed,1,F1
62.5,6.1,7.62,2.44,2.5,Failed,1,F1
101,9,6,3.8,2.368421053,Failed,1,F1
100,8.5,6.5,3.3,2.575757576,Failed,1,F1
97,9,6.6,3.7,2.432432432,Failed,1,F1
51.5,6,6,3.9,1.538461538,Failed,1,F1
112,10.55,6.45,2.82,3.741134752,Failed,1,F1
108,10.55,6.48,3.18,3.317610063,Failed,1,F1
82,10,5,2.8,3.571428571,Failed,0,F0
96,12,6,2.9,4.137931034,Failed,0,F0
70,12.5,5.5,2.9,4.310344828,Failed,0,F0
88,11,6,2.9,3.793103448,Failed,0,F0
112,11.5,5.5,2.9,3.965517241,Failed,0,F0
96,12,6,6,2,Failed,1,F1
82,12,6,3,4,Failed,0,F0
104,12,6,3,4,Failed,0,F0
128,12.8,5.5,5.5,2.327272727,Failed,1,F1
128,9.75,5.49,3.66,2.663934426,Failed,0,F0
57.9,5.18,6.4,3.66,1.415300546,Failed,1,F1
152.4,12.19,6.1,4.88,2.49795082,Failed,1,F1
28.5,3.8,5.8,2.7,1.407407407,Failed,0,F0
34,3.5,6.7,2.7,1.296296296,Failed,1,F1
34,3.5,6.7,2.7,1.296296296,Failed,1,F1
90,7.5,6,4.8,1.5625,Failed,1,F1
57,3.6,5.4,1.35,2.666666667,Failed,0,F0
62,7.5,6.4,4,1.875,Failed,1,F1
62,7.3,6.2,4,1.825,Failed,1,F1
