Depth,BW,PW,MH,Ratio,Stability,Relabel_3
76.2,6.1,4.88,1.37,3.562043796,Failed,Failed
87.8,6.1,6.1,1.98,3.080808081,Failed,Failed
55.5,6.62,7.43,3.8,1.955263158,Failed,Failed
78.2,6.47,10.53,5.16,2.040697674,Failed,Failed
73.5,6.6,8.4,3.65,2.301369863,Failed,Failed
57.66,5.66,5.3,2.89,1.833910035,Failed,Failed
165.7,5,15,5.94,2.525252525,Failed,Failed
195,6,17,4.88,3.483606557,Failed,Failed
205,6,17,5.88,2.891156463,Failed,Failed
167.6,5.49,15.85,5.49,2.887067395,Failed,Failed
193.2,5.49,15.85,5.49,2.887067395,Failed,Failed
184.7,5.49,15.85,5.49,2.887067395,Failed,Failed
36.6,7.62,6.1,4.88,1.25,Failed,Failed
62.5,7.62,6.1,2.44,2.5,Failed,Failed
101,6,9,3.8,2.368421053,Failed,Failed
100,6.5,8.5,3.3,2.575757576,Failed,Failed
97,6.6,9,3.7,2.432432432,Failed,Failed
51.5,6,6,3.9,1.538461538,Failed,Failed
112,6.45,10.55,2.82,3.741134752,Failed,Failed
108,6.48,10.55,3.18,3.317610063,Failed,Failed
112,5.5,11.5,2.9,3.965517241,Failed,Failed
96,6,12,6,2,Failed,Failed
128,5.5,12.8,5.5,2.327272727,Failed,Failed
128,5.49,9.75,3.66,2.663934426,Failed,Failed
57.9,6.4,5.18,3.66,1.415300546,Failed,Failed
152.4,6.1,12.19,4.88,2.49795082,Failed,Failed
34,6.7,3.5,2.7,1.296296296,Failed,Failed
34,6.7,3.5,2.7,1.296296296,Failed,Failed
90,6,7.5,4.8,1.5625,Failed,Failed
57,5.4,3.6,1.35,2.666666667,Failed,Failed
62,6.4,7.5,4,1.875,Failed,Failed
62,6.2,7.3,4,1.825,Failed,Failed
56,6.5,5.1,3.3,1.545454545,Failed,Failed
62,6.1,6.1,4,1.525,Failed,Failed
62,6.1,6.1,4,1.525,Failed,Failed
41,6.4,6.4,6.2,1.032258065,Failed,Failed
41,6.4,6.4,6.2,1.032258065,Failed,Failed
41,6.4,6.4,6.2,1.032258065,Failed,Failed
32,6.4,3.3,2.3,1.434782609,Failed,Failed
32.5,6.5,3.2,2.1,1.523809524,Failed,Failed
43,6.2,4.8,2.8,1.714285714,Failed,Failed
86.4,6.5,7.5,4.6,1.630434783,Failed,Failed
102,6.2,7.6,4.5,1.688888889,Failed,Failed
61,6.1,6.1,4.57,1.334792123,Failed,Failed
61,7.62,6.1,3.05,2,Failed,Failed
57.9,7.62,6.1,3.96,1.54040404,Failed,Failed
41.1,6.4,4.27,3.05,1.4,Failed,Failed
25.9,8.53,3.66,3.05,1.2,Failed,Failed
21.3,8.23,3.96,4.57,0.866520788,Failed,Failed
29.6,7.01,5.18,5.49,0.943533698,Failed,Failed
27.4,7.92,3.66,2.13,1.718309859,Failed,Failed
36.6,7.62,4.57,2.44,1.87295082,Failed,Failed
33.5,6.71,6.1,5.49,1.111111111,Failed,Failed
30.5,7.62,4.57,3.66,1.24863388,Failed,Failed
53.3,6.4,5.18,3.66,1.415300546,Failed,Failed
68.6,5.79,3.35,1.52,2.203947368,Failed,Failed
88.4,6.55,7.16,4.88,1.467213115,Failed,Failed
57.9,6.4,5.18,5.49,0.943533698,Failed,Failed
61,6.86,4.72,3.51,1.344729345,Failed,Failed
30.5,6.4,3.35,2.59,1.293436293,Failed,Failed
42,5.5,4.5,2,2.25,Failed,Failed
28.5,5.8,3.8,2.7,1.407407407,Failed,Failed
33,6.4,6.4,4.88,1.31147541,Failed,Failed
167.68,6.43,12.98,1.45,8.951724138,Intact,Intact
170,6,22,2.6,8.461538462,Intact,Intact
154,6.26,21.37,2.72,7.856617647,Intact,Intact
151,6.15,23.85,3.34,7.140718563,Intact,Intact
215.05,5,35,3,11.66666667,Intact,Intact
178.49,6,19,2.3,8.260869565,Intact,Intact
195.15,6,20,2.1,9.523809524,Intact,Intact
203.42,6,19,1.7,11.17647059,Intact,Intact
203.42,6,19,1.7,11.17647059,Intact,Intact
169,6.19,21.81,2.58,8.453488372,Intact,Intact
138.89,6,17.78,3,5.926666667,Intact,Intact
146.2,6.29,19.89,2.91,6.835051546,Intact,Intact
30.35,6.06,8.96,3.85,2.327272727,Intact,Intact
41.35,5.98,8,3.6,2.222222222,Intact,Intact
63.15,6.11,8.02,1.65,4.860606061,Intact,Intact
40.86,7.63,7.55,2.92,2.585616438,Intact,Intact
30.55,7.11,8.07,3.2,2.521875,Intact,Intact
47.07,6.89,8.29,3.37,2.459940653,Intact,Intact
42.61,5.07,4.38,1.61,2.720496894,Intact,Intact
23,5.68,4,1.58,2.53164557,Intact,Intact
23.76,5.21,4.3,1.5,2.866666667,Intact,Intact
23.54,5.38,4.24,1.54,2.753246753,Intact,Intact
26.75,4.97,4.54,1.65,2.751515152,Intact,Intact
19.4,5.22,4.26,1.4,3.042857143,Intact,Intact
20.8,5.18,4.24,1.38,3.072463768,Intact,Intact
23.33,5.08,4.37,1.33,3.285714286,Intact,Intact
58.89,5.7,8.06,3,2.686666667,Intact,Intact
33.94,5.52,8.17,2.38,3.432773109,Intact,Intact
39.1,6.36,6.63,2.6,2.55,Intact,Intact
36.5,6.3,7.25,2.68,2.705223881,Intact,Intact
24.15,6.25,6.1,2.65,2.301886792,Intact,Intact
25.7,6.17,6.15,2.6,2.365384615,Intact,Intact
18.58,6.16,4.86,2.78,1.748201439,Intact,Intact
21.5,5.96,5.09,2.75,1.850909091,Intact,Intact
