Depth,BW,PW,MH,Ratio,Stability,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PS_7,Pillar Stress,SF_1,SF_2,SF_3,SF_4,SF_5,SF_6,SF_7
76.2,6.1,4.88,1.37,3.562043796,Failed,11571.02345,12195.62631,12518.4891,12087.0404,7777.379475,12092.40414,11714.0473,9644.0625,1.199808012,1.264573546,1.298051428,1.253314192,0.806442251,1.253870362,1.214638261
29,6.3,5.4,2.9,1.862068966,Failed,5750.178309,6869.130666,7503.79242,7719.708135,5232.949369,6674.473787,7289.869282,3403.472222,1.689503523,2.018271406,2.204746192,2.268186026,1.537532563,1.961077791,2.141891811
60,6,7,1.82,3.846153846,Failed,10431.81946,11529.00915,12116.52015,11829.88199,7047.885713,11344.10027,11500.07064,5173.469388,2.016406916,2.228486976,2.342049261,2.286643856,1.362313215,2.192745219,2.222893338
53,6.1,5.6,1.8,3.111111111,Failed,9434.175227,10407.21309,10927.53144,10753.97615,6842.150718,10243.35182,10365.84521,5783.777105,1.63114433,1.799380042,1.88934173,1.859334473,1.182990042,1.771048855,1.792227644
21,5.25,6.75,3.2,2.109375,Failed,5826.185904,7075.292268,7792.410677,8016.100988,5137.342797,6856.54507,7607.61211,1659.259259,3.511317397,4.264127036,4.696318935,4.831132292,3.096166418,4.132292788,4.584944798
19,6,6,3,2,Failed,5859.179465,7039.082415,7711.113831,7923.772119,5223.600322,6833.35174,7503.989305,1900,3.083778666,3.704780218,4.058480964,4.170406378,2.749263328,3.596500916,3.949468055
23,6,6,2.9,2.068965517,Failed,6061.220136,7240.699483,7909.691713,8103.065073,5321.912517,7035.513116,7684.196926,2300,2.635313103,3.14813021,3.438996397,3.523071771,2.313875008,3.058918746,3.340955185
40,5,7,2.8,2.5,Failed,6780.682646,8052.835173,8771.279022,8902.320544,5561.106333,7832.051654,8506.283591,2938.77551,2.307315623,2.740200857,2.984671334,3.029261852,1.892320905,2.665073132,2.894499277
42,5.5,4.5,2,2.25,Failed,7611.297393,8545.366633,9051.409014,9071.526827,6234.90635,8386.927535,8631.508835,5185.185185,1.467893069,1.648034993,1.745628881,1.749508745,1.202446225,1.617478882,1.664648132
50,5,7,2.3,3.043478261,Failed,8254.744091,9486.634373,10165.65983,10136.47974,6196.519299,9275.674735,9762.049248,3673.469388,2.24712478,2.58247269,2.76731851,2.75937504,1.686830254,2.525044789,2.65744674
55,5,7,2.2,3.181818182,Failed,8629.959731,9844.493055,10510.28371,10438.27079,6349.881812,9637.135039,10070.58276,4040.816327,2.135697105,2.436263433,2.601029808,2.583208428,1.571435398,2.38494756,2.492214926
87.8,6.1,6.1,1.98,3.080808081,Failed,8951.218476,10032.87137,10618.14019,10503.52633,6582.173853,9849.524933,10120.47144,8780,1.019500965,1.142696055,1.209355374,1.196301405,0.749678115,1.121813774,1.152673285
55.5,6.62,7.43,3.8,1.955263158,Failed,5147.46308,6433.052578,7186.859248,7479.629927,4746.348927,6205.302303,7076.969905,4961.443074,1.037493125,1.296609168,1.448542116,1.507551294,0.956646858,1.25070513,1.42639345
78.2,6.47,10.53,5.16,2.040697674,Failed,4512.808596,5935.528767,6801.572621,7175.475364,4241.442986,5678.293966,6800.813323,5095.512392,0.885643729,1.164854152,1.334816226,1.408195057,0.832387925,1.114371535,1.334667213
73.5,6.6,8.4,3.65,2.301369863,Failed,5698.088741,7073.463502,7875.940467,8127.137567,4948.86994,6830.464046,7739.913327,5859.375,0.972473812,1.207204438,1.344160506,1.387031478,0.844607136,1.16573253,1.320945208
70,5,7.5,1.8,4.166666667,Failed,10917.93631,12044.00882,12646.16031,12300.72637,7169.557537,11854.37625,11996.13481,4861.111111,2.24597547,2.477624672,2.601495835,2.53043514,1.474880408,2.438614543,2.467776304
63.5,5,7.5,2.1,3.571428571,Failed,9358.231125,10592.64431,11265.4512,11110.81398,6586.756673,10382.56045,10769.07955,4409.722222,2.122181547,2.402111465,2.554684997,2.519617659,1.493689702,2.354470401,2.442121976
61,5,6,1.9,3.157894737,Failed,9251.335997,10298.08105,10861.57623,10711.60696,6715.40407,10121.15226,10331.17133,5125.694444,1.804894166,2.009109432,2.119044814,2.089786481,1.310145219,1.974591418,2.015565197
61,5,7.5,1.9,3.947368421,Failed,10343.30809,11513.60463,12143.6114,11869.52213,6959.495393,11315.79223,11550.60069,4236.111111,2.441698958,2.717965684,2.866688592,2.801985552,1.642897273,2.671268986,2.72669918
74,5,10,4,2.5,Failed,5673.126122,7150.994718,8023.011903,8289.395018,4838.93106,6888.280716,7920.625243,4162.5,1.362913183,1.717956689,1.927450307,1.991446251,1.16250596,1.654842214,1.902852911
74,4.8,7.7,2,3.85,Failed,9956.295938,11178.14673,11840.09797,11614.17502,6794.452212,10970.89343,11290.82887,4875.400573,2.042149314,2.292764782,2.428538494,2.382199134,1.393619275,2.250254777,2.315877168
57.66,5.66,5.3,2.89,1.833910035,Failed,5716.398835,6824.839803,7453.272207,7671.084273,5227.243794,6632.056541,7239.538872,6164.303539,0.92733896,1.107155052,1.209102076,1.244436492,0.847986112,1.075880916,1.17442933
165.7,5,15,5.94,2.525252525,Failed,4678.876851,6300.339477,7304.461861,7694.587728,4154.076468,6004.429042,7355.235415,7364.444444,0.635333308,0.855507775,0.991855111,1.044829354,0.56407194,0.815326816,0.998749528
195,6,17,4.88,3.483606557,Failed,6062.993027,7900.474561,9011.394948,9279.65545,4721.971433,7569.476479,8985.288888,8923.442907,0.679445489,0.885361698,1.00985629,1.039918734,0.52916475,0.848268606,1.006930731
205,6,17,5.88,2.891156463,Failed,5031.871764,6764.186575,7835.629564,8205.402675,4261.835946,6448.257773,7886.09114,9381.055363,0.536386533,0.721047506,0.835260987,0.874677993,0.454302398,0.687370186,0.840640081
167.6,5.49,15.85,5.49,2.887067395,Failed,5203.849392,6915.654694,7965.58736,8313.38982,4376.453548,6604.878715,7989.423665,7595.289291,0.685141697,0.910518932,1.048753649,1.094545514,0.576206301,0.869601994,1.05189195
193.2,5.49,15.85,5.49,2.887067395,Failed,5203.849392,6915.654694,7965.58736,8313.38982,4376.453548,6604.878715,7989.423665,8755.428944,0.594356876,0.789870461,0.909788362,0.949512568,0.499855984,0.754375229,0.912510822
184.7,5.49,15.85,5.49,2.887067395,Failed,5203.849392,6915.654694,7965.58736,8313.38982,4376.453548,6604.878715,7989.423665,8370.226325,0.62170952,0.826220753,0.951657345,0.993209681,0.522859643,0.78909201,0.954505094
36.6,7.62,6.1,4.88,1.25,Failed,3631.846841,4732.532835,5397.995038,5791.313453,4007.783948,4534.258759,5382.357017,4628.813115,0.784617298,1.022407411,1.166172603,1.251144367,0.865834038,0.979572656,1.162794195
62.5,7.62,6.1,2.44,2.5,Failed,7263.693682,8430.466795,9078.309355,9150.753756,5867.739151,8229.853358,8743.664771,7904.39398,0.91894378,1.066554478,1.148514279,1.157679359,0.742338902,1.041174488,1.106177753
101,6,9,3.8,2.368421053,Failed,5665.263158,7080.174291,7909.80883,8169.148873,4894.183555,6829.513875,7788.86536,7013.888889,0.807720688,1.009450592,1.12773512,1.164710334,0.697784586,0.973712869,1.110491695
100,6.5,8.5,3.3,2.575757576,Failed,6339.834969,7738.731539,8544.889245,8733.653055,5240.911079,7493.244517,8355.090616,7785.467128,0.814316581,0.993997073,1.097543552,1.121789215,0.673165912,0.962465629,1.073164972
97,6.6,9,3.7,2.432432432,Failed,5818.378378,7239.217892,8069.607133,8314.207258,4966.49821,6987.956648,7935.631769,7285.777778,0.798593994,0.993609483,1.107583484,1.141155757,0.681670284,0.959122946,1.089194868
51.5,6,6,3.9,1.538461538,Failed,4507.061127,5657.196156,6333.730788,6663.913706,4521.693246,5453.087836,6244.991617,5150,0.8751575,1.09848469,1.229850638,1.293963826,0.877998689,1.058852007,1.212619732
112,6.45,10.55,2.82,3.741134752,Failed,8265.3177,9827.683297,10710.79799,10700.74833,5915.150705,9556.402356,10390.90355,7270.276948,1.136864216,1.351761888,1.473231085,1.47184879,0.813607342,1.314448187,1.429230773
108,6.48,10.55,3.18,3.317610063,Failed,7329.621357,8891.742329,9787.87287,9884.999741,5536.915651,8618.294622,9552.756447,7035.389412,1.0418217,1.263859299,1.391233988,1.40503946,0.787009123,1.22499184,1.357814882
82,5,10,2.8,3.571428571,Failed,8104.465889,9624.978984,10483.68363,10489.58072,5887.697828,9361.092207,10166.95351,4612.5,1.757065775,2.086716311,2.272885339,2.274163842,1.276465654,2.029505086,2.204217562
96,6,12,2.9,4.137931034,Failed,8571.859721,10239.89541,11185.99329,11146.10486,5946.104406,9949.718067,10867.09551,5400,1.58738143,1.896276928,2.07148024,2.064093493,1.101130445,1.842540383,2.012425094
70,5.5,12.5,2.9,4.310344828,Failed,8748.617693,10451.04949,11416.6566,11357.38525,5985.068609,10154.88848,11091.18291,3628.8,2.410884505,2.88002907,3.146124504,3.129790908,1.649324462,2.798415035,3.05643268
88,6,11,2.9,3.793103448,Failed,8206.930861,9803.953447,10709.77321,10708.78962,5863.897372,9526.129792,10404.45182,5254.545455,1.561872655,1.865804289,2.038192133,2.038004944,1.115966628,1.812931275,1.980085987
112,5.5,11.5,2.9,3.965517241,Failed,8391.379303,10024.29452,10950.47232,10930.015,5905.751727,9740.226857,10638.28892,6118.714556,1.371428464,1.638300729,1.789668765,1.786325363,0.965194842,1.591874693,1.738647689
96,6,12,6,2,Failed,4143.065532,5588.214418,6484.247978,6898.044282,3986.284048,5324.305636,6532.602116,5400,0.767234358,1.034854522,1.200786663,1.277415608,0.73820075,0.985982525,1.209741133
82,6,12,3,4,Failed,8286.131063,9954.765818,10905.16176,10899.47991,5836.261455,9663.818707,10612.24345,4612.5,1.796451179,2.158214812,2.364262712,2.363030874,1.265314136,2.095136847,2.300757387
104,6,12,3,4,Failed,8286.131063,9954.765818,10905.16176,10899.47991,5836.261455,9663.818707,10612.24345,5850,1.41643266,1.701669371,1.864130215,1.863158958,0.997651531,1.651934822,1.814058709
128,5.5,12.8,5.5,2.327272727,Failed,4667.934198,6205.33589,7148.507839,7525.920754,4225.095657,5926.189053,7170.551539,6540.820313,0.713661892,0.948709121,1.092906929,1.150608088,0.645958069,0.906031472,1.096277102
128,5.49,9.75,3.66,2.663934426,Failed,6122.145579,7603.350196,8467.864966,8688.144529,5060.676446,7341.604831,8322.75303,7818.270296,0.78305627,0.972510531,1.08308675,1.111261724,0.647288499,0.939031851,1.064526131
