,Depth,PW,BW,MH,Stability,cluster
0,76.2,4.88,6.1,1.37,Failed,0
1,29.0,5.4,6.3,2.9,Failed,0
2,60.0,7.0,6.0,1.82,Failed,0
3,53.0,5.6,6.1,1.8,Failed,0
4,21.0,6.75,5.25,3.2,Failed,0
5,19.0,6.0,6.0,3.0,Failed,0
6,23.0,6.0,6.0,2.9,Failed,0
7,40.0,7.0,5.0,2.8,Failed,0
8,42.0,4.5,5.5,2.0,Failed,0
9,50.0,7.0,5.0,2.3,Failed,0
10,55.0,7.0,5.0,2.2,Failed,0
11,87.8,6.1,6.1,1.98,Failed,0
12,55.5,7.43,6.62,3.8,Failed,1
13,78.2,10.53,6.47,5.16,Failed,1
14,73.5,8.4,6.6,3.65,Failed,1
15,70.0,7.5,5.0,1.8,Failed,0
16,63.5,7.5,5.0,2.1,Failed,0
17,61.0,6.0,5.0,1.9,Failed,0
18,61.0,7.5,5.0,1.9,Failed,0
19,74.0,10.0,5.0,4.0,Failed,2
20,74.0,7.7,4.8,2.0,Failed,0
21,57.66,5.3,5.66,2.89,Failed,0
22,165.7,15.0,5.0,5.94,Failed,2
23,195.0,17.0,6.0,4.88,Failed,2
24,205.0,17.0,6.0,5.88,Failed,2
25,167.6,15.85,5.49,5.49,Failed,2
26,193.2,15.85,5.49,5.49,Failed,2
27,184.7,15.85,5.49,5.49,Failed,2
28,36.6,6.1,7.62,4.88,Failed,1
29,62.5,6.1,7.62,2.44,Failed,1
30,101.0,9.0,6.0,3.8,Failed,1
31,100.0,8.5,6.5,3.3,Failed,1
32,97.0,9.0,6.6,3.7,Failed,1
33,51.5,6.0,6.0,3.9,Failed,1
34,112.0,10.55,6.45,2.82,Failed,1
35,108.0,10.55,6.48,3.18,Failed,1
36,82.0,10.0,5.0,2.8,Failed,0
37,96.0,12.0,6.0,2.9,Failed,2
38,70.0,12.5,5.5,2.9,Failed,2
39,88.0,11.0,6.0,2.9,Failed,0
40,112.0,11.5,5.5,2.9,Failed,2
41,96.0,12.0,6.0,6.0,Failed,1
42,82.0,12.0,6.0,3.0,Failed,2
43,104.0,12.0,6.0,3.0,Failed,2
44,128.0,12.8,5.5,5.5,Failed,2
45,128.0,9.75,5.49,3.66,Failed,2
46,57.9,5.18,6.4,3.66,Failed,1
47,152.4,12.19,6.1,4.88,Failed,1
48,28.5,3.8,5.8,2.7,Failed,0
49,34.0,3.5,6.7,2.7,Failed,1
50,34.0,3.5,6.7,2.7,Failed,1
51,90.0,7.5,6.0,4.8,Failed,1
52,57.0,3.6,5.4,1.35,Failed,0
53,62.0,7.5,6.4,4.0,Failed,1
54,62.0,7.3,6.2,4.0,Failed,1
55,56.0,5.1,6.5,3.3,Failed,1
56,33.0,6.4,6.4,4.88,Failed,1
57,22.0,3.5,6.5,1.6,Failed,0
58,62.0,6.1,6.1,4.0,Failed,1
59,62.0,6.1,6.1,4.0,Failed,1
60,41.0,6.4,6.4,6.2,Failed,1
61,41.0,6.4,6.4,6.2,Failed,1
62,41.0,6.4,6.4,6.2,Failed,1
63,35.5,5.5,5.5,2.2,Failed,0
64,32.0,3.3,6.4,2.3,Failed,0
65,32.5,3.2,6.5,2.1,Failed,0
66,43.0,4.8,6.2,2.8,Failed,0
67,86.4,7.5,6.5,4.6,Failed,1
68,102.0,7.6,6.2,4.5,Failed,1
69,61.0,6.1,6.1,4.57,Failed,1
70,61.0,6.1,7.62,3.05,Failed,1
71,57.9,6.1,7.62,3.96,Failed,1
72,41.1,4.27,6.4,3.05,Failed,1
73,25.9,3.66,8.53,3.05,Failed,1
74,21.3,3.96,8.23,4.57,Failed,1
75,29.6,5.18,7.01,5.49,Failed,1
76,27.4,3.66,7.92,2.13,Failed,1
77,36.6,4.57,7.62,2.44,Failed,1
78,33.5,6.1,6.71,5.49,Failed,1
79,30.5,4.57,7.62,3.66,Failed,1
80,53.3,5.18,6.4,3.66,Failed,1
81,68.6,3.35,5.79,1.52,Failed,0
82,88.4,7.16,6.55,4.88,Failed,1
83,57.9,5.18,6.4,5.49,Failed,1
84,61.0,4.72,6.86,3.51,Failed,1
85,30.5,3.35,6.4,2.59,Failed,0
86,36.2,5.7,6.27,3.8,Intact,1
87,39.95,6.89,6.08,3.7,Intact,1
88,55.2,8.98,6.96,3.95,Intact,1
89,30.35,8.96,6.06,3.85,Intact,1
90,41.35,8.0,5.98,3.6,Intact,1
91,57.34,9.07,5.99,3.84,Intact,1
92,63.15,8.02,6.11,1.65,Intact,0
93,40.86,7.55,7.63,2.92,Intact,1
94,30.55,8.07,7.11,3.2,Intact,1
95,49.82,7.63,7.67,3.05,Intact,1
96,47.07,8.29,6.89,3.37,Intact,1
97,66.95,7.77,7.5,3.0,Intact,1
98,25.98,3.11,5.53,1.34,Intact,0
99,26.83,2.91,5.09,1.33,Intact,0
100,42.61,4.38,5.07,1.61,Intact,0
101,23.0,4.0,5.68,1.58,Intact,0
102,23.76,4.3,5.21,1.5,Intact,0
103,23.54,4.24,5.38,1.54,Intact,0
104,26.75,4.54,4.97,1.65,Intact,0
105,19.4,4.26,5.22,1.4,Intact,0
106,20.8,4.24,5.18,1.38,Intact,0
107,23.33,4.37,5.08,1.33,Intact,0
108,58.89,8.06,5.7,3.0,Intact,0
109,96.2,8.06,5.77,3.1,Intact,0
110,33.94,8.17,5.52,2.38,Intact,0
111,39.1,6.63,6.36,2.6,Intact,0
112,36.5,7.25,6.3,2.68,Intact,0
113,24.15,6.1,6.25,2.65,Intact,0
114,25.7,6.15,6.17,2.6,Intact,0
115,18.58,4.86,6.16,2.78,Intact,0
116,21.5,5.09,5.96,2.75,Intact,0
117,44.95,5.03,6.01,2.68,Intact,0
118,26.51,4.32,6.68,2.65,Intact,1
119,97.27,8.63,6.04,1.37,Intact,0
120,165.45,11.66,6.32,1.45,Intact,0
121,167.68,12.98,6.43,1.45,Intact,0
122,183.83,12.99,6.93,1.23,Intact,0
123,54.0,6.0,6.54,1.2,Intact,0
124,112.0,17.0,5.5,1.05,Intact,2
125,98.15,12.56,5.23,2.65,Intact,2
126,64.79,13.03,5.37,3.08,Intact,2
127,80.5,6.58,6.39,1.65,Intact,0
128,54.6,5.67,6.37,1.6,Intact,0
129,25.15,4.39,6.54,1.65,Intact,0
130,35.73,5.0,6.12,1.73,Intact,0
131,55.7,6.85,6.13,1.7,Intact,0
132,52.5,5.66,6.38,1.7,Intact,0
133,35.5,4.6,6.81,2.0,Intact,0
134,40.33,4.53,6.52,1.83,Intact,0
135,22.62,4.8,6.2,1.65,Intact,0
136,28.75,5.0,6.08,2.0,Intact,0
137,22.3,6.24,5.74,3.5,Intact,0
138,37.7,7.05,5.94,3.06,Intact,0
139,36.26,6.23,6.82,2.63,Intact,1
140,50.17,5.85,7.04,2.6,Intact,1
141,37.08,6.29,6.65,2.78,Intact,1
142,61.1,7.08,6.61,4.49,Intact,1
143,42.0,5.38,6.78,3.96,Intact,1
144,39.33,8.05,6.0,2.68,Intact,0
145,59.16,7.17,6.57,3.51,Intact,1
146,64.24,5.59,5.05,1.0,Intact,0
147,59.98,6.19,5.86,1.52,Intact,0
148,17.91,4.31,5.62,1.71,Intact,0
149,29.56,6.2,6.0,2.1,Intact,0
150,45.72,5.49,5.18,1.83,Intact,0
151,76.2,6.71,5.49,2.74,Intact,0
152,85.34,8.23,5.49,3.2,Intact,0
153,121.92,12.8,5.49,2.29,Intact,2
154,97.54,9.75,5.49,3.2,Intact,0
155,108.0,9.0,6.0,1.14,Intact,0
156,108.0,9.0,6.0,1.1,Intact,0
157,150.0,9.0,6.0,1.15,Intact,0
158,208.0,17.0,6.0,1.2,Intact,2
159,208.0,17.0,6.0,1.1,Intact,2
160,166.0,17.0,6.0,1.48,Intact,2
161,174.0,17.0,6.0,1.17,Intact,2
162,64.47,9.0,6.0,1.89,Intact,0
163,50.0,10.0,6.0,3.8,Intact,1
164,34.6,12.21,5.6,3.4,Intact,2
165,77.65,12.0,5.84,3.8,Intact,2
166,55.75,10.28,6.0,2.8,Intact,0
167,55.75,11.0,6.0,3.0,Intact,2
168,79.92,9.0,6.0,2.9,Intact,0
169,34.15,8.0,6.0,3.0,Intact,0
170,36.53,7.0,6.0,3.0,Intact,0
171,45.72,4.27,5.49,1.19,Intact,0
172,68.58,5.18,5.49,1.19,Intact,0
173,91.44,6.1,5.49,1.19,Intact,0
174,76.2,7.62,6.1,1.37,Intact,0
175,30.48,5.49,6.71,2.59,Intact,1
176,63.64,14.0,6.0,3.0,Intact,2
177,70.79,12.0,6.0,2.2,Intact,0
178,118.62,15.0,6.0,3.5,Intact,2
179,108.75,14.0,6.0,3.0,Intact,2
180,53.86,7.0,6.0,5.0,Intact,1
181,98.72,13.0,6.0,4.0,Intact,2
182,170.0,22.0,6.0,2.6,Intact,2
183,154.0,21.37,6.26,2.72,Intact,2
184,171.7,21.19,6.81,2.9,Intact,2
185,151.0,23.85,6.15,3.34,Intact,2
186,137.0,21.82,5.84,2.84,Intact,2
187,106.0,15.84,6.35,3.16,Intact,2
188,91.44,6.1,6.1,1.52,Intact,0
189,60.96,9.75,5.49,2.29,Intact,0
190,114.0,12.8,5.49,1.98,Intact,2
191,146.3,17.37,5.49,2.13,Intact,2
192,91.44,12.8,5.49,2.07,Intact,2
